2068,4342,reporter,New York,JesseMckinley,jessemckinley,na
0,0,null,null,NYGovCuomo,NYGovCuomo,
0,0,null,null,brianstelter,brianstelter,
0,0,null,null,CNNReliable,CNNReliable,
0,0,null,null,BMossMA,BMossMA,
0,0,null,null,KristenMLepore,KristenMLepore,
0,0,null,null,craigjackson422,craigjackson422,
0,0,null,null,esquire,esquire,
0,0,null,null,ESQPolitics,ESQPolitics,
0,0,null,null,JournalStarNews,JournalStarNews,
0,0,null,null,heathmello,heathmello,
0,0,null,null,votedcdems,votedcdems,
0,0,null,null,RollingStone,RollingStone,
0,0,null,null,EJDionne,EJDionne,
0,0,null,null,HuffPostPol,HuffPostPol,
0,0,null,null,MortonOWH,MortonOWH,
0,0,null,null,DeenaWatchdog,DeenaWatchdog,
2003,4089,reporter,Florida,kmcgrory,kmcgrory,na
0,0,null,null,Paul_In_Rhody,Paul_In_Rhody,
0,0,null,null,HamiltonCollege,HamiltonCollege,
0,0,null,null,JamieLissow,JamieLissow,
0,0,null,null,AZCardinals,AZCardinals,
0,0,null,null,JWGOP,JWGOP,
0,0,null,null,chucktodd,chucktodd,
0,0,null,null,goberthicks,goberthicks,
0,0,null,null,jonhumbert,jonhumbert,
0,0,null,null,RuthMarcus,RuthMarcus,
0,0,null,null,washingtonpost,washingtonpost,
0,0,null,null,SenatorFischer,SenatorFischer,
0,0,null,null,SenSasse,SenSasse,
395,7922,senate_group,New Jersey,NJSenDems,NJSenDems,democrat
0,0,null,null,tomamoran,tomamoran,
0,0,null,null,RindelsAP,RindelsAP,
1321,4528,reporter,California,melmason,melmason,na
0,0,null,null,kdeleon,kdeleon,
0,0,null,null,DennisPCrawford,DennisPCrawford,
0,0,null,null,business,business,
0,0,null,null,TINAHILLSTROM1,TINAHILLSTROM1,
0,0,null,null,KatrinaPierson,KatrinaPierson,
0,0,null,null,piersmorgan,piersmorgan,
0,0,null,null,BrnEyeSuss,BrnEyeSuss,
0,0,null,null,GovSandoval,GovSandoval,
0,0,null,null,barbaraslavin1,barbaraslavin1,
0,0,null,null,johnmyers,johnmyers,
0,0,null,null,JerryBrownGov,JerryBrownGov,
0,0,null,null,lauracrimaldi,lauracrimaldi,
0,0,null,null,jaxbluma,jaxbluma,
0,0,null,null,NYDailyNews,NYDailyNews,
0,0,null,null,BobbygGronauer,BobbygGronauer,
0,0,null,null,thehill,thehill,
0,0,null,null,ByronTau,ByronTau,
0,0,null,null,TonysheltonTony,TonysheltonTony,
0,0,null,null,HerbieZiskend,HerbieZiskend,
0,0,null,null,Marshall_Cohen,Marshall_Cohen,
0,0,null,null,JobsPage,JobsPage,
0,0,null,null,marylousong,marylousong,
0,0,null,null,icareeguns,icareeguns,
0,0,null,null,pewresearch,pewresearch,
0,0,null,null,nytimes,nytimes,
1049,4898,senate_group,Nevada,nvdems,nvdems,democrat
0,0,null,null,TheBlueNevadan,TheBlueNevadan,
0,0,null,null,rlange9,rlange9,
0,0,null,null,CatherineForNV,CatherineForNV,
0,0,null,null,8NewsNow,8NewsNow,
0,0,null,null,davidhulen,davidhulen,
0,0,null,null,SpeakerDeLeo,SpeakerDeLeo,
0,0,null,null,condonchris,condonchris,
0,0,null,null,davidegreenwald,davidegreenwald,
0,0,null,null,BillPostOregon,BillPostOregon,
0,0,null,null,kelliklampe,kelliklampe,
0,0,null,null,JimCantore,JimCantore,
0,0,null,null,swat_wilson,swat_wilson,
0,0,null,null,Kia_M_Neal,Kia_M_Neal,
0,0,null,null,KCStar,KCStar,
0,0,null,null,laurenm,laurenm,
0,0,null,null,TheSimpsons,TheSimpsons,
0,0,null,null,SeamusMcGraw,SeamusMcGraw,
0,0,null,null,nancytodd28,nancytodd28,
0,0,null,null,costareports,costareports,
0,0,null,null,PhilipRucker,PhilipRucker,
0,0,null,null,FeliciaGans,FeliciaGans,
0,0,null,null,hemmingmusic,hemmingmusic,
0,0,null,null,rachelzarrell,rachelzarrell,
0,0,null,null,aimee_ortiz,aimee_ortiz,
22948,30868,senate_group,California,CASenateDems,CASenateDems,democrat
0,0,null,null,senricardolara,senricardolara,
0,0,null,null,Oregonian,Oregonian,
0,0,null,null,WilSchroder,WilSchroder,
0,0,null,null,RhettRiley1234,RhettRiley1234,
0,0,null,null,foxandfriends,foxandfriends,
1927,3613,reporter,Maine,Stevemistler,stevemistler,na
0,0,null,null,PressHerald,PressHerald,
0,0,null,null,KenandMike,KenandMike,
0,0,null,null,WGANNews,WGANNews,
0,0,null,null,indystar,indystar,
0,0,null,null,RonFRichard,RonFRichard,
4172,7095,reporter,Connecticut,capitolwatch,capitolwatch,na
0,0,null,null,StacomCourant,StacomCourant,
0,0,null,null,stewartfornb,stewartfornb,
0,0,null,null,MayorMark,MayorMark,
0,0,null,null,justinlmack,justinlmack,
0,0,null,null,WRKO680,WRKO680,
0,0,null,null,SenLouGentile,SenLouGentile,
0,0,null,null,Colleen_Wright,Colleen_Wright,
0,0,null,null,TB_Times,TB_Times,
0,0,null,null,TimesDan,TimesDan,
0,0,null,null,TIAreports,TIAreports,
0,0,null,null,timesunion,timesunion,
0,0,null,null,ErinRichards,ErinRichards,
